timestep_ns,src,dst,baseline_path,da_beta0_path,equal
20000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,True
20000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
20000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,True
20000000000,364,440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,True
20000000000,440,364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,True
30000000000,399,447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,True
30000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,True
30000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,True
30000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,True
30000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,True
30000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,True
30000000000,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,True
30000000000,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,True
30000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,True
30000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,True
30000000000,432,446,432->31->44->446,432->31->44->446,True
30000000000,446,432,446->44->31->432,446->44->31->432,True
30000000000,394,361,394->44->31->18->361,394->44->31->18->361,True
30000000000,361,394,361->18->31->44->394,361->18->31->44->394,True
30000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,True
30000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,True
30000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
30000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,True
30000000000,364,440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,True
30000000000,440,364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,True
40000000000,399,447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,True
40000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,True
40000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,True
40000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,True
40000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,True
40000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,True
40000000000,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,True
40000000000,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,True
40000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,True
40000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,True
40000000000,432,446,432->31->44->446,432->31->44->446,True
40000000000,446,432,446->44->31->432,446->44->31->432,True
40000000000,394,361,394->31->18->361,394->31->18->361,True
40000000000,361,394,361->18->31->394,361->18->31->394,True
40000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,True
40000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,True
40000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
40000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,True
40000000000,364,440,364->18->19->20->21->34->47->60->73->86->440,364->18->19->20->21->34->47->60->73->86->440,True
40000000000,440,364,440->86->73->60->47->34->21->20->19->18->364,440->86->73->60->47->34->21->20->19->18->364,True
50000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,True
50000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,True
50000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,True
50000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,True
50000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,True
50000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,True
50000000000,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,True
50000000000,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,True
50000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,True
50000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,True
50000000000,432,446,432->31->44->446,432->31->44->446,True
50000000000,446,432,446->44->31->432,446->44->31->432,True
50000000000,394,361,394->31->18->361,394->31->18->361,True
50000000000,361,394,361->18->31->394,361->18->31->394,True
50000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,True
50000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,True
50000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
50000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,True
50000000000,364,440,364->18->19->20->21->34->47->60->73->86->440,364->18->19->20->21->34->47->60->73->86->440,True
50000000000,440,364,440->86->73->60->47->34->21->20->19->18->364,440->86->73->60->47->34->21->20->19->18->364,True
60000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,True
60000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,True
60000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,True
60000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,True
60000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,True
60000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,True
60000000000,355,401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,355->169->181->180->167->154->141->128->115->102->89->76->63->50->37->24->401,True
60000000000,401,355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,401->24->37->50->63->76->89->102->115->128->141->154->167->180->181->169->355,True
60000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,True
60000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,True
60000000000,432,446,432->31->44->446,432->31->44->446,True
60000000000,446,432,446->44->31->432,446->44->31->432,True
60000000000,394,361,394->31->18->361,394->31->18->361,True
60000000000,361,394,361->18->31->394,361->18->31->394,True
60000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,True
60000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,True
60000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,True
60000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,True
60000000000,364,440,364->18->31->44->57->70->71->72->440,364->18->31->44->57->70->71->72->440,True
60000000000,440,364,440->72->71->70->57->44->31->18->364,440->72->71->70->57->44->31->18->364,True
70000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,True
70000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,True
70000000000,425,410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,425->27->28->29->16->3->341->328->315->302->289->276->263->250->237->238->239->240->241->410,True
70000000000,410,425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,410->241->240->239->238->237->250->263->276->289->302->315->328->341->3->16->29->28->27->425,True
70000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,True
70000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,True
